"","PID","county","state","area","popdensity","popwhite","popblack","popamerindian","popother","percwhite","percblack","percamerindan","percasian","percother","popadults","perchsd","percollege","percprof","poppovertyknown","percpovertyknown","percbelowpoverty","percchildbelowpovert","percadultpoverty","percelderlypoverty","inmetro","category","total","asian","per","asianper"
"1",561,"ADAMS","IL",0.052,1270.96154,63917,1702,98,124,96.7120593,2.57527614,0.14828264,0.37675897,0.18762294,43298,75.1073953,19.6313918,4.35585939,63628,96.2747768,13.1514428,18.0117169,11.0097759,12.4438118,0,"AAR",66090,249,0.376758965047662,"small"
"2",562,"ALEXANDER","IL",0.014,759,7054,3496,19,9,66.3843403,32.9004329,0.1788067,0.45172219,0.08469791,6724,59.7263534,11.2433076,2.87031529,10529,99.0871447,32.2442777,45.8265139,27.3856467,25.2289759,0,"LHR",10626,48,0.451722190852626,"small"
"3",563,"BOND","IL",0.022,681.409091,14477,429,35,34,96.5712761,2.86171703,0.23347342,0.10673071,0.22680275,9669,69.3349881,17.0338194,4.48857172,14235,94.9569742,12.0688444,14.036061,10.85209,12.69741,0,"AAR",14991,16,0.106730705089721,"small"
"4",564,"BOONE","IL",0.017,1812.11765,29344,127,46,1139,95.2541713,0.41225735,0.14932156,0.48691813,3.69733169,19272,75.4721876,17.2789539,4.19779992,30337,98.4775693,7.20901869,11.1795358,5.53601292,6.21704745,1,"ALU",30806,150,0.486918132831267,"small"
"5",565,"BROWN","IL",0.018,324.222222,5264,547,14,6,90.1987663,9.37285812,0.23989034,0.08567512,0.10281014,3979,68.861523,14.475999,3.36768032,4815,82.5051405,13.5202492,13.0228887,11.1432109,19.2,0,"AAR",5836,5,0.0856751199451679,"small"
"6",566,"BUREAU","IL",0.05,713.76,35157,50,65,221,98.5121049,0.14010312,0.18213405,0.54640215,0.61925577,23444,76.6294148,18.9046238,3.27589149,35107,98.3720018,10.3996354,14.1588185,8.17928731,11.0085864,0,"AAR",35688,195,0.54640215198386,"large"
"7",567,"CALHOUN","IL",0.017,313.058824,5298,1,8,0,99.5490417,0.01878993,0.15031943,0.28184893,0,3583,62.8244488,11.9173877,3.20960089,5241,98.4780158,15.1497806,13.7877614,12.9323308,21.0852713,0,"LAR",5322,15,0.28184892897407,"small"
"8",568,"CARROLL","IL",0.027,622.407407,16519,111,30,84,98.2981256,0.6605177,0.1785183,0.36298721,0.49985123,11323,75.9516029,16.1971209,3.05572728,16455,97.9172865,11.7107262,17.2254616,10.0270366,9.52505219,0,"AAR",16805,61,0.362987206188634,"small"
"9",569,"CASS","IL",0.024,559.875,13384,16,8,6,99.6055667,0.1190742,0.0595371,0.17116916,0.04465282,8825,72.2719547,14.1076487,3.20679887,13081,97.3505991,13.875086,17.9947841,11.9143432,13.6601796,0,"AAR",13437,23,0.17116915978269,"small"
"10",570,"CHAMPAIGN","IL",0.058,2983.18966,146506,16559,331,1596,84.6733131,9.57029331,0.19130183,4.64268169,0.92241006,95971,87.4993488,41.2958081,17.7574476,154934,89.5442855,15.5724373,14.1322336,17.5627276,8.1050169,1,"HAU",173025,8033,4.64268169339691,"large"
"11",571,"CHRISTIAN","IL",0.042,819.47619,34176,82,51,20,99.2968795,0.23824743,0.14817828,0.25858562,0.05810913,22945,73.074744,13.567226,3.08999782,33788,98.1695624,11.7082988,16.3206125,9.56969969,11.4906408,0,"AAR",34418,89,0.258585623801499,"small"
"12",572,"CLARK","IL",0.03,530.7,15842,10,26,7,99.5038,0.06281012,0.16330632,0.22611645,0.04396709,10734,71.3340786,15.1108627,2.77622508,15615,98.0780102,12.0076849,15.3215475,10.1317752,12.5954198,0,"AAR",15921,36,0.226116449971735,"small"
"13",573,"CLAY","IL",0.028,516.428571,14403,4,17,7,99.6058091,0.02766252,0.1175657,0.20055325,0.04840941,9647,65.5644242,13.6830103,2.78843164,14248,98.5338866,16.7742841,20.5825776,14.4641142,17.6700783,0,"LAR",14460,29,0.200553250345781,"small"
"14",574,"CLINTON","IL",0.029,1170.48276,32688,1021,48,83,96.2997879,3.00789536,0.14140938,0.30638699,0.24452039,21563,67.1659788,15.3874693,2.87529565,32190,94.8326656,10.2236719,13.2994025,9.25383422,8.32317604,1,"LAU",33944,104,0.306386990337026,"small"
"15",575,"COLES","IL",0.03,1721.46667,50177,925,92,109,97.159399,1.79110836,0.17814267,0.66028968,0.21106034,29136,76.105162,25.1750412,8.14456343,45693,88.4768802,16.7487361,16.3419409,18.7929138,10.9936084,0,"AAR",51644,341,0.660289675470529,"large"
